season,temp,atemp,windspeed,Month,count
1,9.84,14.395,0.0,1,16
1,9.02,13.635,0.0,1,40
1,9.02,13.635,0.0,1,32
1,9.84,14.395,0.0,1,13
1,9.84,14.395,0.0,1,1
1,9.84,12.88,6.0032,1,1
1,9.02,13.635,0.0,1,2
1,8.2,12.88,0.0,1,3
1,9.84,14.395,0.0,1,8
1,13.12,17.425,0.0,1,14
1,15.58,19.695,16.9979,1,36
1,14.76,16.665,19.0012,1,56
1,17.22,21.21,19.0012,1,84
1,18.86,22.725,19.9995,1,94
1,18.86,22.725,19.0012,1,106
1,18.04,21.97,19.9995,1,110
1,17.22,21.21,19.9995,1,93
1,18.04,21.97,19.0012,1,67
1,17.22,21.21,16.9979,1,35
1,17.22,21.21,16.9979,1,37
1,16.4,20.455,16.9979,1,36
1,16.4,20.455,12.998,1,34
1,16.4,20.455,15.0013,1,28
1,18.86,22.725,19.9995,1,39
1,18.86,22.725,19.9995,1,17
1,18.04,21.97,16.9979,1,17
1,17.22,21.21,19.0012,1,9
1,18.86,22.725,12.998,1,6
1,18.86,22.725,12.998,1,3
1,17.22,21.21,19.9995,1,2
1,16.4,20.455,12.998,1,1
1,16.4,20.455,15.0013,1,8
1,15.58,19.695,15.0013,1,20
1,14.76,17.425,15.0013,1,53
1,14.76,16.665,16.9979,1,70
1,14.76,16.665,19.9995,1,93
1,14.76,17.425,8.9981,1,75
1,14.76,17.425,12.998,1,59
1,13.94,16.665,11.0014,1,74
1,13.94,16.665,11.0014,1,76
1,13.94,16.665,12.998,1,65
1,14.76,16.665,22.0028,1,53
1,13.12,14.395,30.0026,1,30
1,12.3,13.635,23.9994,1,22
1,10.66,11.365,22.0028,1,31
1,9.84,10.605,19.9995,1,9
1,9.02,11.365,11.0014,1,8
1,9.02,9.85,23.9994,1,5
1,8.2,8.335,27.9993,1,2
1,6.56,6.82,26.0027,1,1
1,6.56,6.82,19.0012,1,3
1,5.74,5.305,26.0027,1,30
1,5.74,6.82,12.998,1,64
1,5.74,6.06,19.0012,1,154
1,6.56,6.82,26.0027,1,88
1,7.38,8.335,16.9979,1,44
1,8.2,9.09,22.0028,1,51
1,9.02,10.605,19.9995,1,61
1,9.84,10.605,19.0012,1,61
1,10.66,12.12,19.0012,1,77
1,10.66,12.12,16.9979,1,72
1,10.66,12.12,16.9979,1,76
1,9.84,11.365,15.0013,1,157
1,9.84,12.88,7.0015,1,157
1,8.2,12.88,0.0,1,110
1,8.2,11.365,7.0015,1,52
1,7.38,9.85,8.9981,1,52
1,5.74,7.575,8.9981,1,20
1,7.38,10.605,7.0015,1,12
1,6.56,9.09,7.0015,1,5
1,6.56,9.09,7.0015,1,2
1,5.74,7.575,8.9981,1,1
1,5.74,9.09,6.0032,1,2
1,4.92,7.575,7.0015,1,4
1,4.92,7.575,7.0015,1,36
1,4.92,7.575,8.9981,1,94
1,5.74,7.575,11.0014,1,179
1,6.56,7.575,15.0013,1,100
1,6.56,6.82,22.0028,1,42
1,9.02,10.605,19.9995,1,57
1,9.02,11.365,11.0014,1,78
1,9.84,11.365,12.998,1,97
1,10.66,12.88,15.0013,1,63
1,11.48,13.635,16.9979,1,65
1,12.3,14.395,16.9979,1,83
1,11.48,13.635,15.0013,1,212
1,10.66,12.88,12.998,1,182
1,9.84,12.88,7.0015,1,112
1,9.84,12.88,7.0015,1,54
1,9.02,13.635,0.0,1,48
1,9.02,12.88,6.0032,1,35
1,8.2,11.365,6.0032,1,11
1,8.2,12.88,0.0,1,6
1,6.56,9.85,6.0032,1,6
1,6.56,9.85,6.0032,1,2
1,9.84,11.365,15.0013,1,2
1,9.02,11.365,11.0014,1,3
1,8.2,9.85,15.0013,1,33
1,7.38,9.09,12.998,1,88
1,8.2,9.09,19.9995,1,195
1,9.02,9.85,22.0028,1,115
1,9.02,9.85,22.0028,1,57
1,10.66,11.365,22.0028,1,46
1,10.66,11.365,22.0028,1,79
1,11.48,12.88,19.9995,1,71
1,12.3,14.395,12.998,1,62
1,12.3,14.395,12.998,1,62
1,12.3,15.91,6.0032,1,89
1,9.84,11.365,12.998,1,190
1,9.84,12.12,8.9981,1,169
1,9.84,12.88,7.0015,1,132
1,9.02,11.365,11.0014,1,89
1,8.2,9.85,12.998,1,43
1,7.38,9.85,8.9981,1,42
1,8.2,12.88,0.0,1,19
1,7.38,12.12,0.0,1,11
1,6.56,11.365,0.0,1,4
1,6.56,11.365,0.0,1,2
1,6.56,9.85,6.0032,1,1
1,5.74,9.09,6.0032,1,4
1,5.74,8.335,7.0015,1,36
1,6.56,11.365,0.0,1,95
1,6.56,11.365,0.0,1,219
1,7.38,12.12,0.0,1,122
1,8.2,12.88,0.0,1,45
1,9.02,12.88,6.0032,1,59
1,10.66,14.395,0.0,1,84
1,10.66,13.635,7.0015,1,67
1,11.48,13.635,11.0014,1,70
1,11.48,13.635,0.0,1,62
1,10.66,12.88,11.0014,1,86
1,9.02,11.365,11.0014,1,172
1,9.02,11.365,8.9981,1,163
1,9.02,12.88,6.0032,1,112
1,8.2,10.605,11.0014,1,69
1,9.02,10.605,15.0013,1,48
1,9.02,10.605,19.0012,1,52
1,8.2,9.85,12.998,1,23
1,8.2,9.85,12.998,1,17
1,8.2,9.85,15.0013,1,7
1,8.2,9.85,15.0013,1,1
1,8.2,10.605,8.9981,1,1
1,9.02,13.635,0.0,1,5
1,8.2,12.88,0.0,1,34
1,8.2,10.605,8.9981,1,84
1,8.2,9.85,16.9979,1,210
1,8.2,9.09,19.9995,1,134
